winery,region_1,province,country
The White Knight,Lake County,California,US
Trump,Monticello,Virginia,US
Vignerons de Bel Air,Brouilly,Beaujolais,France
Viticultori Associati Canicatti,Sicilia,Sicily & Sardinia,Italy
Casa Silva,,Colchagua Valley,Chile
Cantine di Dolianova,Monica di Sardegna,Sicily & Sardinia,Italy
Château de Sours,Bordeaux Blanc,Bordeaux,France
Corvo,Sicilia,Sicily & Sardinia,Italy
RustRidge,Napa Valley,California,US
Souverain,North Coast,California,US
Tres Palacios,,Maipo Valley,Chile
Mellisoni,Columbia Valley (WA),Washington,US
Okapi,Napa Valley,California,US
Podere dal Nespoli,Romagna,Central Italy,Italy
Ram,Columbia Valley (WA),Washington,US
Roland Champion,Champagne,Champagne,France
Sevtap,Santa Ynez Valley,California,US
Simonnet-Febvre,Chablis,Burgundy,France
Vignerons des Terres Secrètes,Mâcon-Milly Lamartine,Burgundy,France
Basel Cellars,Columbia Valley (WA),Washington,US
Cocobon,California,California,US
Collet,Champagne,Champagne,France
Drumheller,Columbia Valley (WA),Washington,US
Eco Terreno,Alexander Valley,California,US
Grifalco,Aglianico del Vulture,Southern Italy,Italy
Hindsight,Howell Mountain,California,US
Hindsight,Calistoga,California,US
Mulvane Wine Co.,Napa Valley,California,US
Schmitt Söhne,,Rheinhessen,Germany
Yalumba,South Australia,South Australia,Australia
Z'IVO,Eola-Amity Hills,Oregon,US
Adega Cooperativa do Cartaxo,,Tejo,Portugal
Aresti,,Rapel Valley,Chile
Spyro,Rías Baixas,Galicia,Spain
Lionel Osmin & Cie,Vin de France,France Other,France
Mitolo,McLaren Vale,South Australia,Australia
Napa Cellars,Napa Valley,California,US
P.J. Valckenberg,,Rheinhessen,Germany
Palencia,Ancient Lakes,Washington,US
Passaggio,Knights Valley,California,US
Poggio Alloro,Vernaccia di San Gimignano,Tuscany,Italy
Fattoria Sardi,Toscana,Tuscany,Italy
Ferrari-Carano,Sonoma County,California,US
Folie à Deux,Sonoma Coast,California,US
Franciscan,Napa Valley,California,US
Fuchs,,Burgenland,Austria
Gård,Columbia Valley (WA),Washington,US
Henry Fessy,Juliénas,Beaujolais,France
Henry Fessy,Régnié,Beaujolais,France
Heron Hill,Finger Lakes,New York,US
Serpaia di Endrizzi,Morellino di Scansano,Tuscany,Italy
Soquel Vineyards,Napa Valley,California,US
Ventosa,Finger Lakes,New York,US
Lamoreaux Landing,Finger Lakes,New York,US
Leyda,,Leyda Valley,Chile
Madonna Alta,Toscana,Tuscany,Italy
Marchesi Antinori,Toscana,Tuscany,Italy
Marchesi de' Frescobaldi,Toscana,Tuscany,Italy
Martin Ranch,Santa Clara Valley,California,US
Ornellaia,Toscana,Tuscany,Italy
Pardon et Fils,Brouilly,Beaujolais,France
Piña,Yountville,California,US
Podere Ciona,Toscana,Tuscany,Italy
Poggioventoso,Toscana,Tuscany,Italy
Pull,Paso Robles,California,US
R2,Santa Ynez Valley,California,US
Rideau,Central Coast,California,US
Tenuta Forconi,Toscana,Tuscany,Italy
Dopff & Irion,Alsace,Alsace,France
Ceretto,Barolo,Piedmont,Italy
Matrix,Alexander Valley,California,US
Mauritson,Rockpile,California,US
Henry's Drive Vignerons,Padthaway,South Australia,Australia
Silverado,Napa Valley,California,US
Le Riche,,Stellenbosch,South Africa
Pierre Sparr,Alsace,Alsace,France
Kuentz-Bas,Alsace,Alsace,France
Camberley,,Stellenbosch,South Africa
Delheim,,Simonsberg-Stellenbosch,South Africa
Poderi Luigi Einaudi,Barolo,Piedmont,Italy
Clark-Clauden,Napa Valley,California,US
Giacomo Ascheri,Barolo,Piedmont,Italy
Lassègue,Saint-Émilion,Bordeaux,France
Beaumont,,Walker Bay,South Africa
Poderi Colla,Barbera d'Alba,Piedmont,Italy
Banyan,Santa Lucia Highlands,California,US
Domaine Zind-Humbrecht,Alsace,Alsace,France
Terra Valentine,Spring Mountain District,California,US
Testarossa,Santa Lucia Highlands,California,US
Vincent Vineyards,Santa Ynez Valley,California,US
Weingut Liebfrauenstift,,Rheinhessen,Germany
Wrath,Monterey,California,US
Yardstick,Napa Valley,California,US
Herdade Grande,,Alentejano,Portugal
Albatross Ridge,Carmel Valley,California,US
Alta Colina,Paso Robles,California,US
Marques de Griñon,Dominio de Valdepusa,Central Spain,Spain
Big Basin,Santa Cruz Mountains,California,US
Carl Graff,,Mosel,Germany
Casa Santa Vitória,,Alentejano,Portugal
Castello di Gabbiano,Chianti Classico,Tuscany,Italy
Castello Romitorio,Brunello di Montalcino,Tuscany,Italy
Château Vincens,Cahors,Southwest France,France
Chronic Cellars,Paso Robles,California,US
Claiborne & Churchill,Edna Valley,California,US
Collin-Bourisset,Moulin-à-Vent,Beaujolais,France
Conde de Velázquez,,Aconcagua Valley,Chile
Cono Sur,,Maipo Valley,Chile
Domaine Berthoumieu,Madiran,Southwest France,France
Dracaena,Paso Robles,California,US
Duckhorn,Napa Valley,California,US
Dutton-Goldfield,Russian River Valley,California,US
Fritz Haag,,Mosel,Germany
G7,,Loncomilla Valley,Chile
Le Cadeau,Willamette Valley,Oregon,US
Stoneleigh,,Marlborough,New Zealand
Tenuta Peter Sölva & Söhne,Alto Adige,Northeastern Italy,Italy
TerraMater,,Maipo Valley,Chile
Isole e Olena,Chianti Classico,Tuscany,Italy
Kenwood,Sonoma Valley,California,US
La Chablisienne,Chablis,Burgundy,France
Manzoni,Santa Lucia Highlands,California,US
McIntyre Vineyards,Arroyo Seco,California,US
Abbadia Ardenga,Brunello di Montalcino,Tuscany,Italy
Alamos,Salta,Other,Argentina
Anaba,Sonoma Coast,California,US
Apaltagua,,Colchagua Valley,Chile
Harrington,Anderson Valley,California,US
Abbazia Santa Anastasia,Sicilia,Sicily & Sardinia,Italy
Viña Bisquertt,,Colchagua Valley,Chile
Emiliana,,Casablanca Valley,Chile
Fattoria Alois,Campania,Southern Italy,Italy
Aldegheri,Rosso del Veronese,Veneto,Italy
Bertrand Ambroise,St.-Romain,Burgundy,France
Campomaggio,Chianti Classico,Tuscany,Italy
Carpineto,Vino Nobile di Montepulciano,Tuscany,Italy
Cesani,Vernaccia di San Gimignano,Tuscany,Italy
Spier,,Western Cape,South Africa
Sequum,Napa Valley,California,US
Sierra Starr,Nevada County,California,US
Tenuta di Sesta,Brunello di Montalcino,Tuscany,Italy
Terlan,Alto Adige,Northeastern Italy,Italy
Yatir,,Judean Hills,Israel
Adega Cooperativa de Borba,,Alentejo,Portugal
J. Lohr,Paso Robles,California,US
J. Lohr,Arroyo Seco,California,US
Courtney Benham,Napa Valley,California,US
Del Carlo Winery,Dry Creek Valley,California,US
Delaire Graff,,Coastal Region,South Africa
Domaine St Pierre,Côtes du Rhône,Rhône Valley,France
Eikendal,,Western Cape,South Africa
Famille Perrin,Vacqueyras,Rhône Valley,France
Matarromera,Rueda,Northern Spain,Spain
MCV,Paso Robles,California,US
Mounts,Dry Creek Valley,California,US
Or Haganuz,,Galilee,Israel
Podere Scopetone,Brunello di Montalcino,Tuscany,Italy
Quinta de Foz de Arouce,,Beira Atlantico,Portugal
Robert Mondavi,Napa Valley,California,US
Samuel Tinon,,Tokaj,Hungary
Sixteen by Twenty,Sonoma Coast,California,US
St. Pauls,Alto Adige,Northeastern Italy,Italy
Talenti,Brunello di Montalcino,Tuscany,Italy
Mendel,Luján de Cuyo,Mendoza Province,Argentina
Oldenburg,,Stellenbosch,South Africa
Wagner,Finger Lakes,New York,US
Treleaven,Cayuga Lake,New York,US
Benessere,Napa Valley,California,US
Bloomer Creek,Finger Lakes,New York,US
Andean Sky,Mendoza,Mendoza Province,Argentina
Angove's,South Australia,South Australia,Australia
Silvan Ridge,Willamette Valley,Oregon,US
Talamonti,Montepulciano d'Abruzzo,Central Italy,Italy
Testarossa,Santa Barbara County,California,US
Meeker,Diamond Mountain District,California,US
Consorzio Vini Tipici di San Marino,San Marino,Central Italy,Italy
D'Arenberg,McLaren Vale,South Australia,Australia
Dogwood,Mendocino,California,US
Domaine du Tariquet,Vin de Pays des Côtes de Gascogne,Southwest France,France
Falcor,Napa Valley,California,US
Hayman & Hill,Russian River Valley,California,US
Hermann J. Wiemer,Finger Lakes,New York,US
J. & F. Lurton,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Finca Las Moras,San Juan,Other,Argentina
Long Flat,Adelaide Hills,South Australia,Australia
Work,Sonoma Mountain,California,US
Amity,Willamette Valley,Oregon,US
Autumn Hill,Monticello,Virginia,US
Blue Rock,Alexander Valley,California,US
Cherry Hill,Willamette Valley,Oregon,US
Cloud 9,Amador County,California,US
Cueva de las Manos,Luján de Cuyo,Mendoza Province,Argentina
David Fulton,St. Helena,California,US
Esterlina,Cole Ranch,California,US
Goats do Roam Wine Co.,,Coastal Region,South Africa
Graham Beck,,Coastal Region,South Africa
Hartenberg,,Stellenbosch,South Africa
Vignobles 46N118,Cahors,Southwest France,France
Willamette Valley Vineyards,Willamette Valley,Oregon,US
Algodon,,Mendoza Province,Argentina
Beaver Creek,Napa Valley,California,US
Byron,Santa Maria Valley,California,US
Jardin,,Stellenbosch,South Africa
Kaiken,Mendoza,Mendoza Province,Argentina
Lungarotti,Torgiano,Central Italy,Italy
Marchesi Fumanelli,Veneto,Veneto,Italy
Mariell,,Leithaberg,Austria
Livio Felluga,Colli Orientali del Friuli,Northeastern Italy,Italy
My Big Fat Greek Wine,,Santorini,Greece
Nals Margreid,Alto Adige,Northeastern Italy,Italy
O. Fournier,Uco Valley,Mendoza Province,Argentina
Pico Maccario,Monferrato,Piedmont,Italy
Sottano,Mendoza,Mendoza Province,Argentina
St. Francis,Sonoma County,California,US
Trailhead,Napa Valley,California,US
Erath,Willamette Valley,Oregon,US
Franz Haas,Alto Adige,Northeastern Italy,Italy
Forstreiter,,Kremstal,Austria
Cambria,Santa Maria Valley,California,US
I Giusti e Zanza,Toscana,Tuscany,Italy
J. Christopher,Dundee Hills,Oregon,US
Viña Cobos,Perdriel,Mendoza Province,Argentina
Salomon-Undhof,,Kremstal,Austria
Talley,Arroyo Grande Valley,California,US
Acústic,Montsant,Catalonia,Spain
Josef Schmid,,Kremstal,Austria
Parallel,Napa Valley,California,US
Château Lafon-Rochet,Saint-Estèphe,Bordeaux,France
Dionigi,Sagrantino di Montefalco,Central Italy,Italy
Domaine Daniel Dugois,Arbois,France Other,France
Kilikanoon,Barossa Valley,South Australia,Australia
Finca Sophenia,Tupungato,Mendoza Province,Argentina
Treana,Paso Robles,California,US
Ventisquero,,Maipo Valley,Chile
Aquinas,Napa Valley,California,US
Arboleda,,Aconcagua Valley,Chile
Attilio Ghisolfi,Langhe,Piedmont,Italy
Buried Cane,Columbia Valley (WA),Washington,US
Cantina del Nebbiolo,Roero,Piedmont,Italy
Cascina Adelaide,Barolo,Piedmont,Italy
Cascina La Ghersa,Barbera d'Asti Superiore Nizza,Piedmont,Italy
Claudia Springs,Mendocino County,California,US
Cramele Recas,,Recas,Romania
Domaine Bertagna,Côte de Nuits-Villages,Burgundy,France
Domaine Sigalas,,Santorini,Greece
Socré,Langhe,Piedmont,Italy
Boffa,Langhe,Piedmont,Italy
Otto's Constant Dream,,Hawke's Bay,New Zealand
Mount Veeder,Napa Valley,California,US
Rabino,Roero,Piedmont,Italy
Bellussi,Prosecco di Valdobbiadene,Veneto,Italy
Château Mont-Pérat,Bordeaux Blanc,Bordeaux,France
Château Tour de Mirambeau,Bordeaux Blanc,Bordeaux,France
Paladin,Veneto,Veneto,Italy
Perlage,Prosecco di Valdobbiadene,Veneto,Italy
Sant Eurosia,Prosecco di Valdobbiadene,Veneto,Italy
J. & F. Lurton,,Colchagua Valley,Chile
L'Antica Quercia,Prosecco di Conegliano,Veneto,Italy
Lucas Vineyards,Finger Lakes,New York,US
Marsuret,Prosecco di Valdobbiadene,Veneto,Italy
De Martino,,Limarí Valley,Chile
Beringer,Knights Valley,California,US
Brutocao,Mendocino,California,US
Clos La Chance,Central Coast,California,US
Sommariva,Prosecco di Conegliano,Veneto,Italy
Spagnol,Prosecco di Valdobbiadene,Veneto,Italy
Jacquart,Champagne,Champagne,France
Koyle,,Colchagua Costa,Chile
Château Notre Dame du Quatourze,Languedoc,Languedoc-Roussillon,France
Mémoires,Coteaux Varois en Provence,Provence,France
Cavas Hill,Cava,Catalonia,Spain
Antoine Moltès & Fils,Alsace,Alsace,France
Pezzi King,Dry Creek Valley,California,US
Bellisco,Cava,Catalonia,Spain
Pura 8,,Rapel Valley,Chile
Viña Tarapacá,,Leyda Valley,Chile
Chambers Rosewood Vineyards,Rutherglen,Victoria,Australia
Robert Weil,,Rheingau,Germany
Torbreck,Barossa,South Australia,Australia
Cavallotto,Barolo,Piedmont,Italy
Oremus,,Tokaji,Hungary
Rochioli,Russian River Valley,California,US
Louis Latour,Montrachet,Burgundy,France
Jasper Hill,Heathcote,Victoria,Australia
Château de la Tour,Clos de Vougeot,Burgundy,France
Weingut Hans Bausch,,Rheingau,Germany
Philippe Colin,Chassagne-Montrachet,Burgundy,France
Torbreck,Barossa Valley,South Australia,Australia
Bel Colle,Barolo,Piedmont,Italy
J. Davies,Diamond Mountain District,California,US
Louis Latour,Criots-Bâtard-Montrachet,Burgundy,France
Winderlea,Dundee Hills,Oregon,US
Wakefield,Clare Valley,South Australia,Australia
Cantina Terlano,Alto Adige,Northeastern Italy,Italy
Montresor,Bianco di Custoza,Veneto,Italy
Ronco del Gelso,Friuli,Northeastern Italy,Italy
Sebastiani,Sonoma Valley,California,US
Elena Walch,Alto Adige,Northeastern Italy,Italy
Gini,Soave,Veneto,Italy
Borgo Conventi,Collio,Northeastern Italy,Italy
Ceago Vinegarden,Mendocino County,California,US
Valiano,Toscana,Tuscany,Italy
Volpe Pasini,Colli Orientali del Friuli,Northeastern Italy,Italy
Zenato,,Naoussa,Greece
L.A. Cetto,,Valle de Guadalupe,Mexico
La Vis,Trentino,Northeastern Italy,Italy
Lapostolle,,Rapel Valley,Chile
Fratelli Zeni,Bianco di Custoza,Veneto,Italy
Carmen,,Maipo Valley,Chile
Tommasi,Valdadige,Veneto,Italy
San Michele Eppan,Alto Adige,Northeastern Italy,Italy
Vinoce,Rutherford,California,US
Merriam,Russian River Valley,California,US
Murphy-Goode,Alexander Valley,California,US
Kynsi,Edna Valley,California,US
Casa Julia,,Maipo Valley,Chile
Valdivieso,,Central Valley,Chile
Bridlewood,Santa Ynez Valley,California,US
San Pedro,,Lontué Valley,Chile
Undurraga,,Maipo Valley,Chile
Conti Formentini,Collio,Northeastern Italy,Italy
Cline,California,California,US
Astoria,Prosecco di Valdobbiadene,Veneto,Italy
Cantine Maschio,Italy,Italy Other,Italy
Val d'Oca,Prosecco di Valdobbiadene,Veneto,Italy
Vinavanti,California,California,US
Vino V,Santa Barbara County,California,US
Viticoltori Ponte,Prosecco del Veneto,Veneto,Italy
Le Vigne di Alice,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy
McGregor,Finger Lakes,New York,US
Miles,Finger Lakes,New York,US
Morro Bay,California,California,US
Pizzolato,Prosecco del Veneto,Veneto,Italy
Red Newt Cellars,Finger Lakes,New York,US
Ca'Tullio,Prosecco del Veneto,Veneto,Italy
Michlits,,Burgenland,Austria
Château de Callac,Graves,Bordeaux,France
Château de Marsan,Bordeaux Blanc,Bordeaux,France
Guardian,Columbia Valley (WA),Washington,US
Kerloo,Walla Walla Valley (WA),Washington,US
Kohl,,Weinviertel,Austria
Las Positas,California,California,US
Lieb,New York,New York,US
Luberri,Rioja,Northern Spain,Spain
Macari,North Fork of Long Island,New York,US
Malat,,Kremstal,Austria
Milbrandt,Wahluke Slope,Washington,US
Ojai,Santa Ynez Valley,California,US
ONX,Templeton Gap District,California,US
Pomum,Snipes Mountain,Washington,US
Prospect 772,Santa Barbara County,California,US
Revello Fratelli,Barolo,Piedmont,Italy
Gebeshuber,,Thermenregion,Austria
Tenuta La Marchesa,Gavi,Piedmont,Italy
Trione,Alexander Valley,California,US
Vinos de Arganza,Bierzo,Northern Spain,Spain
Vinos de Arganza,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Walla Walla Vintners,Walla Walla Valley (WA),Washington,US
Winzer Krems,,Niederösterreich,Austria
Wölffer,Long Island,New York,US
Dunbar,Sonoma Valley,California,US
Eschenhof Holzer,,Wagram,Austria
Fattorie Romeo del Castello,Etna,Sicily & Sardinia,Italy
Flying Cloud,Paso Robles,California,US
Gadais Père et Fils,Muscadet Sèvre et Maine,Loire Valley,France
André Brunel,Côtes du Rhône,Rhône Valley,France
Majolini,Franciacorta,Lombardy,Italy
Montaudon,Champagne,Champagne,France
Montemercurio,Vino Nobile di Montepulciano,Tuscany,Italy
Patrick Javillier,Meursault,Burgundy,France
Philippe Fontaine,Champagne,Champagne,France
Pillitteri,Niagara-On-The-Lake,Ontario,Canada
Robert Mondavi,Carneros,California,US
Roederer Estate,Anderson Valley,California,US
Rusack,Santa Maria Valley,California,US
Bellavista,Franciacorta,Lombardy,Italy
Chanoine,Champagne,Champagne,France
Chehalem,Ribbon Ridge,Oregon,US
Chehalem,Dundee Hills,Oregon,US
Henri de Villamont,Meursault,Burgundy,France
Vollereaux,Champagne,Champagne,France
Wittmann,,Rheinhessen,Germany
Valentina Cubi,Amarone della Valpolicella,Veneto,Italy
Deutz,Champagne,Champagne,France
Domaine Serene,Willamette Valley,Oregon,US
Dr. Loosen,,Mosel,Germany
H. Blin,Champagne,Champagne,France
Henri de Villamont,Chambolle-Musigny,Burgundy,France
Jeaunaux-Robin,Champagne,Champagne,France
Bell,Rutherford,California,US
Castello di Amorosa,Napa Valley,California,US
Château Vray Croix de Gay,Pomerol,Bordeaux,France
Dampierre,Champagne,Champagne,France
Santa Maria La Palma,Cannonau di Sardegna,Sicily & Sardinia,Italy
Sparkman,Red Mountain,Washington,US
Argiolas,Isola dei Nuraghi,Sicily & Sardinia,Italy
Babcock,Sta. Rita Hills,California,US
Cape View,,Stellenbosch,South Africa
Ken Forrester,,Western Cape,South Africa
Louis Bernard,Côtes du Rhône Villages,Rhône Valley,France
Lyeth,Sonoma County,California,US
Marco Cecchini,Colli Orientali del Friuli,Northeastern Italy,Italy
Vigneti Le Monde,Friuli Grave,Northeastern Italy,Italy
V&N; Cellars,Cava,Catalonia,Spain
Zerba Cellars,Walla Walla Valley (WA),Washington,US
Insania,Red Mountain,Washington,US
Knapp,Finger Lakes,New York,US
Lava Cap,El Dorado,California,US
Loess,Rueda,Northern Spain,Spain
MICA Cellars,Suisun Valley,California,US
Michael Pozzan,Carneros,California,US
Domaine du Grand Cros,Côtes de Provence,Provence,France
El Coto,Rioja,Northern Spain,Spain
Fenestra,Lodi,California,US
Gunter Triebaumer,,Österreichischer Sekt,Austria
Hanna,Russian River Valley,California,US
Alain Jaume et Fils,Côtes du Rhône,Rhône Valley,France
Aleo,Vino de la Tierra de Castilla y León,Northern Spain,Spain
Altùris,Venezia Giulia,Northeastern Italy,Italy
Camaraderie,Wahluke Slope,Washington,US
Camaraderie,Yakima Valley,Washington,US
Beringer,Napa Valley,California,US
Big Basin,Monterey County,California,US
Boude Baudin,Champagne,Champagne,France
Conn Creek,Chiles Valley,California,US
D.R. Stephens,Sonoma Coast,California,US
Davis Family,Russian River Valley,California,US
Domaine Jeannin-Naltet,Mercurey,Burgundy,France
Prospect 772,Calaveras County,California,US
Qupé,Edna Valley,California,US
Rex Hill,Willamette Valley,Oregon,US
Ruby,Chehalem Mountains,Oregon,US
Structure,Horse Heaven Hills,Washington,US
Testarossa,Arroyo Grande Valley,California,US
Tumwater,Dundee Hills,Oregon,US
Joseph Jewell,Russian River Valley,California,US
Le Cadeau,Oregon,Oregon,US
Le Vigne,Paso Robles,California,US
Maximin Grünhäuser,,Mosel,Germany
Northstar,Walla Walla Valley (WA),Washington,US
Padis,Napa Valley,California,US
Paul O'Brien,Umpqua Valley,Oregon,US
Flying Goat Cellars,Santa Maria Valley,California,US
Abbazia di Novacella,Alto Adige Valle Isarco,Northeastern Italy,Italy
Midsummer Cellars,Napa Valley,California,US
Les Belles Collines,Napa Valley,California,US
Lutum,Sonoma Coast,California,US
Turiya,Ballard Canyon,California,US
Iron Horse,Green Valley,California,US
Brandini,Barolo,Piedmont,Italy
Artesa,Carneros,California,US
Carlisle,Sonoma Valley,California,US
Château Vignelaure,Coteaux d'Aix-en-Provence,Provence,France
Clos d'Argentine,Mendoza,Mendoza Province,Argentina
Mas de Cadenet,Côtes de Provence Sainte-Victoire,Provence,France
Passing Time,Horse Heaven Hills,Washington,US
Resalte,Ribera del Duero,Northern Spain,Spain
Sanctuary,Santa Maria Valley,California,US
Terre Rouge,Sierra Foothills,California,US
Limerick Lane,Russian River Valley,California,US
Loring Wine Company,Sonoma Coast,California,US
Eighty Four,Napa Valley,California,US
Flying Goat Cellars,Sta. Rita Hills,California,US
Four Lanterns,Paso Robles,California,US
Turiya,Central Coast,California,US
World's End,Napa Valley,California,US
Benegas,Mendoza,Mendoza Province,Argentina
W.H. Smith,Howell Mountain,California,US
Alleromb,Columbia Valley (WA),Washington,US
Ardor,Yakima Valley,Washington,US
Berryessa Gap,Yolo County,California,US
Brezza,Dolcetto d'Alba,Piedmont,Italy
Château Bois Chantant,Bordeaux Supérieur,Bordeaux,France
Château de Campuget,Costières de Nîmes,Rhône Valley,France
Château de l'Aubrade,Bordeaux Supérieur,Bordeaux,France
Château de Pressac,Saint-Émilion,Bordeaux,France
Chateau Lafayette Reneau,Finger Lakes,New York,US
Château Maison Noble Saint Martin,Bordeaux,Bordeaux,France
Cupcake,California,California,US
Raconteur,Washington,Washington,US
Savage Grace,Columbia Gorge (WA),Washington,US
Seven Falls,Wahluke Slope,Washington,US
Silvertip,Santa Cruz Mountains,California,US
Steininger,,Kamptal,Austria
Stevens,Yakima Valley,Washington,US
Strauss,,Steiermark,Austria
Trinity River,North Coast,California,US
Umathum,,Burgenland,Austria
Vintage Cowboy,Paso Robles,California,US
Kontos,Walla Walla Valley (WA),Washington,US
Landhaus Mayer,,Niederösterreich,Austria
Lavau,,Rhône Valley,France
L'Ecole No. 41,Columbia Valley (WA),Washington,US
Lyrarakis,,Crete,Greece
Midnight,Paso Robles,California,US
Michael Pozzan,Alexander Valley,California,US
Michele Chiarlo,Gavi,Piedmont,Italy
Monte Xanic,,Valle de Guadalupe,Mexico
Paoletti,Oak Knoll District,California,US
Peconic Bay Winery,North Fork of Long Island,New York,US
Príncipe de Viana,Navarra,Northern Spain,Spain
Proemio,Mendoza,Mendoza Province,Argentina
Quady North,Rogue Valley,Oregon,US
Quinta do Portal,,Douro,Portugal
Raptor Ridge,Chehalem Mountains,Oregon,US
Rodney Strong,Northern Sonoma,California,US
Saintsbury,Carneros,California,US
Sextant,Paso Robles,California,US
Solar de Pinheiro,,Vinho Verde,Portugal
Suavia,Soave Classico,Veneto,Italy
Tilia,Mendoza,Mendoza Province,Argentina
B Cellars,Russian River Valley,California,US
Bacio della Luna,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Barlow,Calistoga,California,US
Borgo Maragliano,Piedmont,Piedmont,Italy
Bortolotti,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Coiled,,Idaho,US
Colter's Creek,Idaho,Idaho,US
Corte Falco,Soave,Veneto,Italy
Domenico Cavazza,Gambellara Classico,Veneto,Italy
Cascina La Ghersa,Monferrato,Piedmont,Italy
Kangarilla Road,McLaren Vale,South Australia,Australia
Walt,Russian River Valley,California,US
WillaKenzie Estate,Willamette Valley,Oregon,US
Willm,Alsace,Alsace,France
Jean-Marc Bernhard,Alsace,Alsace,France
Yeringberg,Yarra Valley,Victoria,Australia
Armida,Dry Creek Valley,California,US
Marqués de Murrieta,Rioja,Northern Spain,Spain
Biecher & Schaal,Alsace,Alsace,France
Domaines Schlumberger,Alsace,Alsace,France
Foxen,Santa Maria Valley,California,US
Les Belles Collines,California,California,US
Luis Duarte,,Alentejano,Portugal
Melhill,Sonoma Coast,California,US
Niner,Paso Robles,California,US
Purple Hands,Willamette Valley,Oregon,US
Quinta da Lagoalva de Cima,,Tejo,Portugal
Quinta do Monte Xisto,,Douro,Portugal
Reichsgraf von Kesselstatt,,Mosel,Germany
Stone The Crows,Napa Valley,California,US
Sturm,Collio,Northeastern Italy,Italy
Plantagenet,Great Southern,Western Australia,Australia
Scratch,Arroyo Seco,California,US
Sipp Mack,Alsace,Alsace,France
St. Amant,Mokelumne River,California,US
Stoller,Dundee Hills,Oregon,US
Fable Mountain,,Coastal Region,South Africa
Vine Cliff,Los Carneros,California,US
Va Piano,Walla Walla Valley (WA),Washington,US
Y Rousseau,Mount Veeder,California,US
Monte Volpe,Mendocino,California,US
Palladino,Barolo,Piedmont,Italy
Paradise Ridge,Rockpile,California,US
Pecchenino,Dogliani Superiore,Piedmont,Italy
Poet's Leap,Columbia Valley (WA),Washington,US
Rafael Cambra,Valencia,Levante,Spain
Raphael,North Fork of Long Island,New York,US
Seven Hills,Walla Walla Valley (WA),Washington,US
Snoqualmie,Columbia Valley (WA),Washington,US
Stags' Leap Winery,Napa Valley,California,US
The Grapes of Roth,Long Island,New York,US
The Withers Winery,Anderson Valley,California,US
Truchard,Carneros,California,US
Acacia,Carneros,California,US
Array,Yakima Valley,Washington,US
Baracchi Riccardo,Cortona,Tuscany,Italy
Barrister,Columbia Valley (WA),Washington,US
Bodegas Berceo,Rioja,Northern Spain,Spain
Bunnell,Columbia Valley (WA),Washington,US
Castello di Neive,Piemonte,Piedmont,Italy
Castello di Querceto,Colli della Toscana Centrale,Tuscany,Italy
Chateau Ste. Michelle,Horse Heaven Hills,Washington,US
Cobb,Sonoma Coast,California,US
Comm. G. B. Burlotto,Barolo,Piedmont,Italy
Cooper-Garrod,Santa Cruz Mountains,California,US
